Date,Close,SMA_200,Signal
2017-03-08,2362.97998046875,2192.0182446289064,Buy
2017-03-09,2364.8701171875,2193.6023950195317,Buy
2017-03-10,2372.60009765625,2195.085095214844,Buy
2017-03-13,2373.469970703125,2196.499744873047,Buy
2017-03-14,2365.449951171875,2197.876494140625,Buy
2017-03-15,2385.260009765625,2199.307493896484,Buy
2017-03-16,2381.3798828125,2200.7296435546878,Buy
2017-03-17,2378.25,2202.1242431640626,Buy
2017-03-20,2373.469970703125,2203.46529296875,Buy
2017-03-21,2344.02001953125,2204.689743652344,Buy
2017-03-22,2348.449951171875,2205.8849438476564,Buy
2017-03-23,2345.9599609375,2207.0540942382813,Buy
2017-03-24,2343.97998046875,2208.178393554688,Buy
2017-03-27,2341.590087890625,2209.308944091797,Buy
2017-03-28,2358.570068359375,2210.621444091797,Buy
2017-03-29,2361.1298828125,2212.0317932128905,Buy
2017-03-30,2368.06005859375,2213.4954931640623,Buy
2017-03-31,2362.719970703125,2214.951593017578,Buy
2017-04-03,2358.840087890625,2216.3558435058594,Buy
2017-04-04,2360.159912109375,2217.8005432128907,Buy
2017-04-05,2352.949951171875,2219.14904296875,Buy
2017-04-06,2357.489990234375,2220.491993408203,Buy
2017-04-07,2355.5400390625,2221.8424438476563,Buy
2017-04-10,2357.159912109375,2223.0616430664063,Buy
2017-04-11,2353.780029296875,2224.6434930419923,Buy
2017-04-12,2344.929931640625,2226.3654425048826,Buy
2017-04-13,2328.949951171875,2227.8297424316406,Buy
2017-04-17,2349.010009765625,2229.2209423828126,Buy
2017-04-18,2342.18994140625,2230.4375915527344,Buy
2017-04-19,2338.169921875,2231.61369140625,Buy
2017-04-20,2355.840087890625,2232.9501416015623,Buy
2017-04-21,2348.68994140625,2234.19494140625,Buy
2017-04-24,2374.14990234375,2235.57619140625,Buy
2017-04-25,2388.610107421875,2236.8697424316406,Buy
2017-04-26,2387.449951171875,2238.121192626953,Buy
2017-04-27,2388.77001953125,2239.3043432617187,Buy
2017-04-28,2384.199951171875,2240.463193359375,Buy
2017-05-01,2388.330078125,2241.58609375,Buy
2017-05-02,2391.169921875,2242.733243408203,Buy
2017-05-03,2388.1298828125,2243.839443359375,Buy
2017-05-04,2389.52001953125,2244.968143310547,Buy
2017-05-05,2399.2900390625,2246.099493408203,Buy
2017-05-08,2399.3798828125,2247.2705432128905,Buy
2017-05-09,2396.919921875,2248.379992675781,Buy
2017-05-10,2399.6298828125,2249.5357421875,Buy
2017-05-11,2394.43994140625,2250.662042236328,Buy
2017-05-12,2390.89990234375,2251.783641357422,Buy
2017-05-15,2402.320068359375,2252.94494140625,Buy
2017-05-16,2400.669921875,2254.0802905273435,Buy
2017-05-17,2357.030029296875,2255.011240234375,Buy
2017-05-18,2365.719970703125,2256.054689941406,Buy
2017-05-19,2381.72998046875,2257.144389648437,Buy
2017-05-22,2394.02001953125,2258.2932397460936,Buy
2017-05-23,2398.419921875,2259.370988769532,Buy
2017-05-24,2404.389892578125,2260.488488769531,Buy
2017-05-25,2415.070068359375,2261.655139160156,Buy
2017-05-26,2415.820068359375,2262.8567895507813,Buy
2017-05-30,2412.909912109375,2263.9923889160154,Buy
2017-05-31,2411.800048828125,2265.1311389160155,Buy
2017-06-01,2430.06005859375,2266.330689697266,Buy
2017-06-02,2439.070068359375,2267.635290527344,Buy
2017-06-05,2436.10009765625,2268.904691162109,Buy
2017-06-06,2429.330078125,2270.116241455078,Buy
2017-06-07,2433.139892578125,2271.3625903320312,Buy
2017-06-08,2433.7900390625,2272.618341064453,Buy
2017-06-09,2431.77001953125,2273.8426916503904,Buy
2017-06-12,2429.389892578125,2275.11244140625,Buy
2017-06-13,2440.35009765625,2276.4518420410154,Buy
2017-06-14,2437.919921875,2277.796241455078,Buy
2017-06-15,2432.4599609375,2279.056641845704,Buy
2017-06-16,2433.14990234375,2280.3417907714843,Buy
2017-06-19,2453.4599609375,2281.7543408203123,Buy
2017-06-20,2437.030029296875,2283.0851904296874,Buy
2017-06-21,2435.610107421875,2284.363341064453,Buy
2017-06-22,2434.5,2285.603441162109,Buy
2017-06-23,2438.300048828125,2286.864141845703,Buy
2017-06-26,2439.070068359375,2288.152991943359,Buy
2017-06-27,2419.3798828125,2289.6108410644533,Buy
2017-06-28,2440.68994140625,2291.019090576172,Buy
2017-06-29,2419.699951171875,2292.482490234375,Buy
2017-06-30,2423.409912109375,2293.9706896972657,Buy
2017-07-03,2429.010009765625,2295.3794396972658,Buy
2017-07-05,2432.5400390625,2296.846340332031,Buy
2017-07-06,2409.75,2298.1994897460936,Buy
2017-07-07,2425.179931640625,2299.6265893554687,Buy
2017-07-10,2427.429931640625,2300.948138427734,Buy
2017-07-11,2425.530029296875,2302.189888916016,Buy
2017-07-12,2443.25,2303.5826892089844,Buy
2017-07-13,2447.830078125,2305.091339111328,Buy
2017-07-14,2459.27001953125,2306.588039550781,Buy
2017-07-17,2459.139892578125,2308.0268884277343,Buy
2017-07-18,2460.610107421875,2309.574289550781,Buy
2017-07-19,2473.830078125,2311.10208984375,Buy
2017-07-20,2473.449951171875,2312.66333984375,Buy
2017-07-21,2472.5400390625,2314.2735900878906,Buy
2017-07-24,2469.909912109375,2315.8244897460936,Buy
2017-07-25,2477.1298828125,2317.4062890625,Buy
2017-07-26,2477.830078125,2319.026739501953,Buy
2017-07-27,2475.419921875,2320.585539550781,Buy
2017-07-28,2472.10009765625,2322.2623901367188,Buy
2017-07-31,2470.300048828125,2323.917990722656,Buy
2017-08-01,2476.35009765625,2325.636990966797,Buy
2017-08-02,2477.570068359375,2327.35994140625,Buy
2017-08-03,2472.159912109375,2329.088240966797,Buy
2017-08-04,2476.830078125,2330.7743908691405,Buy
2017-08-07,2480.909912109375,2332.457490234375,Buy
2017-08-08,2474.919921875,2334.125389404297,Buy
2017-08-09,2474.02001953125,2335.7896899414063,Buy
2017-08-10,2438.2099609375,2337.2240893554685,Buy
2017-08-11,2441.320068359375,2338.7148901367186,Buy
2017-08-14,2465.840087890625,2340.346940917969,Buy
2017-08-15,2464.610107421875,2342.0047912597656,Buy
2017-08-16,2468.110107421875,2343.713292236328,Buy
2017-08-17,2430.010009765625,2345.2325927734373,Buy
2017-08-18,2425.550048828125,2346.8017431640624,Buy
2017-08-21,2428.3701171875,2348.453894042969,Buy
2017-08-22,2452.510009765625,2350.27314453125,Buy
2017-08-23,2444.0400390625,2352.06744506836,Buy
2017-08-24,2438.969970703125,2353.6046948242188,Buy
2017-08-25,2443.050048828125,2355.1221447753906,Buy
2017-08-28,2444.239990234375,2356.5270446777345,Buy
2017-08-29,2446.300048828125,2357.921145019531,Buy
2017-08-30,2457.590087890625,2359.386845703125,Buy
2017-08-31,2471.64990234375,2360.9240954589845,Buy
2017-09-01,2476.550048828125,2362.4048962402344,Buy
2017-09-05,2457.85009765625,2363.809447021484,Buy
2017-09-06,2465.5400390625,2365.2015466308594,Buy
2017-09-07,2465.10009765625,2366.617547607422,Buy
2017-09-08,2461.429931640625,2367.933797607422,Buy
2017-09-11,2488.110107421875,2369.3596484375,Buy
2017-09-12,2496.47998046875,2370.818448486328,Buy
2017-09-13,2498.3701171875,2372.243548583984,Buy
2017-09-14,2495.6201171875,2373.7130493164063,Buy
2017-09-15,2500.22998046875,2375.1908996582038,Buy
2017-09-18,2503.8701171875,2376.716199951172,Buy
2017-09-19,2506.64990234375,2378.294049072266,Buy
2017-09-20,2508.239990234375,2379.875499267578,Buy
2017-09-21,2500.60009765625,2381.354949951172,Buy
2017-09-22,2502.219970703125,2382.8048999023435,Buy
2017-09-25,2496.659912109375,2384.081448974609,Buy
2017-09-26,2496.840087890625,2385.334699707031,Buy
2017-09-27,2507.0400390625,2386.5722497558595,Buy
2017-09-28,2510.06005859375,2387.837750244141,Buy
2017-09-29,2519.360107421875,2389.0759509277345,Buy
2017-10-02,2529.1201171875,2390.455151367188,Buy
2017-10-03,2534.580078125,2391.817901611328,Buy
2017-10-04,2537.739990234375,2393.2162512207037,Buy
2017-10-05,2552.070068359375,2394.663951416016,Buy
2017-10-06,2549.330078125,2396.0568017578125,Buy
2017-10-09,2544.72998046875,2397.4545520019533,Buy
2017-10-10,2550.639892578125,2398.9029516601563,Buy
2017-10-11,2555.239990234375,2400.360201416016,Buy
2017-10-12,2550.929931640625,2401.770451660156,Buy
2017-10-13,2553.169921875,2403.2867016601563,Buy
2017-10-16,2557.639892578125,2404.8286010742186,Buy
2017-10-17,2559.360107421875,2406.431251220703,Buy
2017-10-18,2561.260009765625,2407.9484008789063,Buy
2017-10-19,2562.10009765625,2409.4051513671875,Buy
2017-10-20,2575.2099609375,2410.936201171875,Buy
2017-10-23,2564.97998046875,2412.376201171875,Buy
2017-10-24,2569.1298828125,2413.877351074219,Buy
2017-10-25,2557.14990234375,2415.318601074219,Buy
2017-10-26,2560.39990234375,2416.744000244141,Buy
2017-10-27,2581.070068359375,2418.2971508789065,Buy
2017-10-30,2572.830078125,2419.7881018066405,Buy
2017-10-31,2575.260009765625,2421.3249523925783,Buy
2017-11-01,2579.360107421875,2422.8623034667967,Buy
2017-11-02,2579.85009765625,2424.443104248047,Buy
2017-11-03,2587.840087890625,2426.0257543945318,Buy
2017-11-06,2591.1298828125,2427.6554040527344,Buy
2017-11-07,2590.639892578125,2429.2082531738283,Buy
2017-11-08,2594.3798828125,2430.688302001953,Buy
2017-11-09,2584.6201171875,2432.128002929688,Buy
2017-11-10,2582.300048828125,2433.566053466797,Buy
2017-11-13,2584.840087890625,2435.0857543945312,Buy
2017-11-14,2578.8701171875,2436.5857543945312,Buy
2017-11-15,2564.6201171875,2438.011104736328,Buy
2017-11-16,2585.639892578125,2439.535053710937,Buy
2017-11-17,2578.85009765625,2440.942204589844,Buy
2017-11-20,2582.139892578125,2442.3901037597657,Buy
2017-11-21,2599.030029296875,2443.919853515625,Buy
2017-11-22,2597.080078125,2445.431904296875,Buy
2017-11-24,2602.419921875,2446.9046533203127,Buy
2017-11-27,2601.419921875,2448.3312524414064,Buy
2017-11-28,2627.0400390625,2449.8252026367186,Buy
2017-11-29,2626.070068359375,2451.2676525878906,Buy
2017-11-30,2647.580078125,2452.759302978516,Buy
2017-12-01,2642.219970703125,2454.234302978516,Buy
2017-12-04,2639.43994140625,2455.675703125,Buy
2017-12-05,2629.570068359375,2456.9966540527344,Buy
2017-12-06,2629.27001953125,2458.3289038085936,Buy
2017-12-07,2636.97998046875,2459.694753417969,Buy
2017-12-08,2651.5,2461.115552978516,Buy
2017-12-11,2659.989990234375,2462.5667529296875,Buy
2017-12-12,2664.110107421875,2464.0691040039064,Buy
2017-12-13,2662.85009765625,2465.4035546875,Buy
2017-12-14,2652.010009765625,2466.754005126953,Buy
2017-12-15,2675.81005859375,2468.2174548339844,Buy
2017-12-18,2690.159912109375,2469.7917041015626,Buy
2017-12-19,2681.469970703125,2471.357104492188,Buy
2017-12-20,2679.25,2472.938454589844,Buy
2017-12-21,2684.570068359375,2474.536954345703,Buy
2017-12-22,2683.340087890625,2476.090654296875,Buy
2017-12-26,2680.5,2477.62580444336,Buy
2017-12-27,2682.6201171875,2479.2116552734374,Buy
2017-12-28,2687.5400390625,2480.723055419922,Buy
2017-12-29,2673.610107421875,2482.1842065429687,Buy
2018-01-02,2695.81005859375,2483.7720068359376,Buy
2018-01-03,2713.06005859375,2485.4699572753907,Buy
2018-01-04,2723.989990234375,2487.3698071289064,Buy
2018-01-05,2743.14990234375,2489.3433068847658,Buy
2018-01-08,2747.7099609375,2491.3520568847657,Buy
2018-01-09,2751.2900390625,2493.3886071777342,Buy
2018-01-10,2748.22998046875,2495.421806640625,Buy
2018-01-11,2767.56005859375,2497.466756591797,Buy
2018-01-12,2786.239990234375,2499.592307128906,Buy
2018-01-16,2776.419921875,2501.6341064453127,Buy
2018-01-17,2802.56005859375,2503.833306884765,Buy
2018-01-18,2798.030029296875,2506.029256591797,Buy
2018-01-19,2810.300048828125,2508.27995727539,Buy
2018-01-22,2832.969970703125,2510.680057373047,Buy
2018-01-23,2839.1298828125,2513.088256835937,Buy
2018-01-24,2837.5400390625,2515.4982568359374,Buy
2018-01-25,2839.25,2517.9087072753905,Buy
2018-01-26,2872.8701171875,2520.504157714844,Buy
2018-01-29,2853.530029296875,2523.047158203125,Buy
2018-01-30,2822.429931640625,2525.514558105469,Buy
2018-01-31,2823.81005859375,2527.8885583496094,Buy
2018-02-01,2821.97998046875,2530.287508544922,Buy
2018-02-02,2762.1298828125,2532.4073083496096,Buy
2018-02-05,2648.93994140625,2533.8728076171874,Buy
2018-02-06,2695.139892578125,2535.6050573730467,Buy
2018-02-07,2681.659912109375,2537.142607421875,Buy
2018-02-08,2581.0,2538.1045568847658,Buy
2018-02-09,2619.550048828125,2539.265057373047,Buy
2018-02-12,2656.0,2540.6012072753906,Buy
